definition_id,title,year,definition_number,definition,score_convexity,is_convexity,score_asymmetry,is_asymmetry,score_protective_rore,is_protective_rore,score_iterative_learning,is_iterative_learning,score_adaptive_restructuring,is_adaptive_restructuring,score_growth_through_disorder,is_growth_through_disorder,amf_any,non_amf,louvain_cluster,non_amf_cluster_label,non_amf_cluster_score
f4229895-e22e-4296-a43b-35e5c5797c77,the implications of industry 4.0 for managing supply chain disruption and enhancing supply chain resilience: a systematic literature review,2025,3,"unlike robustness and resilience, which aim to withstand or return to a pre-shock state, antifragility suggests a capacity for evolutionary improvement in the face of adversity.",0.4244537800550461,False,0.340618833899498,False,0.595656231045723,False,0.47743360698223114,False,0.49269989132881165,False,0.2755182981491089,False,False,True,1,adaptability_extended,0.6452768445014954
7fa31771-afd2-4e87-ab4a-00ba6b1b20ab,"significant leap in the industrial revolution from industry 4.0 to industry 5.0: needs, problems, and driving forces",2024,0,"antifragility, a critical characteristic of systems that thrive under stress, shocks, errors, and failures, will play a pivotal role in ensuring adaptability and robustness in the face of global challenges, such as climate change and biodiversity issues.",0.4049522876739502,False,0.33201760053634644,False,0.6213135868310928,False,0.40813571214675903,False,0.4653717577457428,False,0.3487212359905243,False,False,True,1,adaptability_extended,0.6452768445014954
00b2e96a-3d0e-431f-b056-631f9e931a1d,betting on the future: how to build antifragility in innovative start-up companies,2024,1,"antifragility implies the tendency of an organization to improve its own competitive position in the face of a crisis, while resilience does not.",0.30030858516693115,False,0.29893510043621063,False,0.6245795637369156,False,0.31481724977493286,False,0.3810664117336273,False,0.3569629192352295,False,False,True,4,rore_extended,0.613197922706604
f2b4decb-a8da-40a1-9c8f-43556e09b78e,the effect of digital governance to stimulate the antifragile capabilities of public sector organizations,2024,2,antifragile organizations are better prepared to respond to crises and emerge more robust... transforming [risks] into opportunities.,0.20755237340927124,False,0.22938404232263565,False,0.46118566393852234,False,0.28563158214092255,False,0.2842060327529907,False,0.3570631593465805,False,False,True,4,rore_extended,0.613197922706604
909523c2-0d70-4faa-a67e-3c31c0e39d28,introducing antifragility analysis algorithm for assessing digitalization strategies of the agricultural economy in the small farming section,2024,2,the ability to deal with uncertainty completely and internally consistently is an essential characteristic of antifragility.,0.35074079036712646,False,0.3125031739473343,False,0.5467477440834045,False,0.4251440614461899,False,0.3359167128801346,False,0.34389977157115936,False,False,True,1,adaptability_extended,0.6452768445014954
13c3cccd-c17e-487f-bbfd-8f26054927c4,stocks and cryptocurrencies: antifragile or robust? a novel antifragility measure of the stock and cryptocurrency markets,2023,0,"a system is antifragile when it benefits from noise or disorder. thus, noise acts as a constructive element that allows the system to perform a function successfully. therefore, one expects to encounter antifragility in a complex dynamical system that is nonlinear, has many degrees of freedom and is out of equilibrium.",0.4055164009332657,False,0.3537845313549042,False,0.5500533431768417,False,0.36317630112171173,False,0.34938205778598785,False,0.3733942359685898,False,False,True,2,viability,0.5669020414352417
21f9aa40-523e-4a1f-8339-fd8bcb266b30,building supply chain resilience and antifragility: strategies and technologies for mitigating disruptions,2023,0,supply chains that are resilient and antifragile—capable of surviving and thriving amid disruptions.,0.2706996947526932,False,0.3087719827890396,False,0.4421403557062149,False,0.3038419336080551,False,0.34050460159778595,False,0.34322595596313477,False,False,True,0,rore_extended,0.5214213132858276
715ee7f1-60db-410a-8a79-0fe297c19a12,antifragile philosophy in r&d projects: applying q methodology and the possibility of open innovation,2021,0,"the concept of antifragile was created by nicholas nasim taleb in 2012. it is a neologism that taleb uses to define the opposite to fragile... the opposite is what not only does not deteriorate, break down and/or collapse but also improves.",0.2575201243162155,False,0.2625466287136078,False,0.5322171151638031,False,0.253802552819252,False,0.27986210584640503,False,0.25846052169799805,False,False,True,2,viability,0.5669020414352417
d0bbe397-7338-4c08-b90b-c3b549ab5795,gaining from disorder: making the case for antifragility in purchasing and supply chain management,2021,0,"unlike robust or resilient supply chains, the antifragile supply chain loves disorder and thrives in the world of randomness. in other words, robust and resilient supply chains are placed on a continuum from the fragile to antifragile supply chain.",0.2839982509613037,False,0.3124418258666992,False,0.49580782651901245,False,0.3439198434352875,False,0.33598320186138153,False,0.33191654086112976,False,False,True,0,rore_extended,0.5214213132858276
ed705d86-e2d8-4eef-8572-880ca8be6272,supraresilience of bio-socio-technical infrastructures,2020,0,antifragility ... did not exist as a notion before nicholas taleb introduced it in 2012 as an antonym to fragility and demonstrates itself as the ability of a system to become stronger (up to an unknown point) after experiencing a stressor.,0.3463858515024185,False,0.31224438548088074,False,0.6019295454025269,False,0.30550049245357513,False,0.36489996314048767,False,0.26685240864753723,False,False,True,2,viability,0.5669020414352417
